what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1276207811259
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1276207811277
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1276207811307
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1276207817471
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1276207817570
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1276207818458
started,bundle,org.eclipse.equinox.p2.console,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.console",1276207818544
activated,view,org.eclipse.mtj.pulsar.ui,1.0.1.v200909181641,"org.eclipse.pulsar.ui.view.SDKInstallView",1276207827984
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1276207828035
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276207859262
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276208224345
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276208364404
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276208365008
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276208366963
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276209491731
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1276209495180
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276209500329
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276209564144
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276209571645
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1276209611304
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1276209611523
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1276209611991
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1276209612047
started,bundle,org.eclipse.jst.common.frameworks,1.1.300.v200904132230,"org.eclipse.jst.common.frameworks",1276209618228
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1276209618327
