what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1280246413143
java.specification.name,sysinfo,,,"Java Platform API Specification",1280246413143
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280246413143
java.specification.version,sysinfo,,,"1.6",1280246413143
java.vendor,sysinfo,,,"Apple Inc.",1280246413143
java.version,sysinfo,,,"1.6.0_20",1280246413143
java.vm.info,sysinfo,,,"mixed mode",1280246413143
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1280246413143
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1280246413143
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280246413143
java.vm.specification.version,sysinfo,,,"1.0",1280246413143
java.vm.vendor,sysinfo,,,"Apple Inc.",1280246413143
java.vm.version,sysinfo,,,"16.3-b01-279",1280246413143
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1280246413275
started,bundle,org.tigris.subversion.clientadapter,1.6.4.1,"org.tigris.subversion.clientadapter",1280246413331
started,bundle,org.tigris.subversion.subclipse.core,1.6.5,"org.tigris.subversion.subclipse.core",1280246413380
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1280246413401
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1280246413512
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1280246413532
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1280246413566
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1280246413602
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1280246413792
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1280246413822
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1280246413856
started,bundle,org.eclipse.dltk.core,1.0.1.v20090910-1601,"org.eclipse.dltk.core",1280246413977
