what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1268342634753
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268342638358
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268342642609
started,bundle,com.collabnet.subversion.merge,1.10.0,"com.collabnet.subversion.merge",1268342642739
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1268342642790
started,bundle,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui",1268342642809
opened,view,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1268342642925
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1268342642997
opened,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1268342643036
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.svnPerspective",1268342643054
activated,view,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1268342643084
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1268342643091
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1268342643091
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1268342651852
activated,perspective,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.TeamSynchronizingPerspective",1268342651876
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1268342651881
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1268342651893
executed,command,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.TeamSynchronizingPerspective",1268342651893
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1268342660857
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1268342662506
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.svnPerspective",1268342664477
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1268342664482
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1268342667586
activated,view,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1268342669047
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268342671589
