what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268342990769
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268342994796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268343578058
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268343709529
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268343710848
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268343713106
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268343715169
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268343715460
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1268343716197
stopped,bundle,org.eclipse.mylyn.pde.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.pde.ui",1268343716224
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1268343716226
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1268343716301
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1268343716314
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1268343716336
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1268343716353
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1268343716374
stopped,bundle,org.eclipse.rap.ui.launch,1.2.0.20090813-1513,"org.eclipse.rap.ui.launch",1268343716422
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1268343716422
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1268343716535
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1268343716659
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1268343716700
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1268343716720
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1268343716721
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1268343716756
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1268343716798
